id,platform,slug,name,url,description,created_at,language
1,youtube,akane-japanese-class,あかね的日本語教室,https://www.youtube.com/@Akane-JapaneseClass,"Welcome to Akane’s Japanese class!!
Hello, my name's Akane and I'm a Japanese teacher.
My videos are meant for intermediate and advanced learners but if you're a beginner, that's perfectly OK!
Because all my content is in Japanese, you'll get used to the language faster and improve your listening skills.",2026-07-17T02:59:13.914993+00:00,ja
2,youtube,kanatope-japanese,KanamatopeJapanese,https://www.youtube.com/@KanamatopeJapanese,"This channel is designed for Japanese beginners.
It focuses on real-life scenario practice — shadowing and role-play scripts for places like restaurants, hotels, and convenience stores — plus longer phrase-listening drills organized by situation.",2026-07-17T02:59:13.914993+00:00,ja
3,youtube,speak-japanese-naturally,Speak Japanese Naturally,https://www.youtube.com/@SpeakJapaneseNaturally,"This channel is designed for Japanese beginners.
You can learn through walk-and-talk videos where you listen to explanations in Japanese while enjoying views of Japanese scenery, as well as tips on how to study Japanese.",2026-07-17T02:59:13.914993+00:00,ja
